Id;Area;Pregunta;Estado;Respuesta del cliente;Lectura;Accion;Responsable;Fecha compromiso
Q19;Riesgos;Criterio correcto de asignación de etapa de riesgo y si hubo periodos mal clasificados;Repreguntar;"La etapa la controla SAF; la única condición es que si se tiene 0 pase a 1.";La primera parte sí es útil y cierra media pregunta: la etapa no se calcula, se recibe, y la única transformación permitida es 0 a 1. Lo que no responde es la segunda mitad, que era si hubo periodos mal clasificados por el filtro de periodo anulado, es decir si hay que corregir el pasado.;Cerrar la parte de criterio y repreguntar sólo por el efecto retroactivo. Redacción propuesta abajo.;;
Q20;Riesgos;Granularidad del reporte de riesgos: folio o folio más sección;Fuera de alcance;Para póliza ahorita no se trabajará reporte de riesgo.;De acuerdo.;Baja prioridad.;;
Q21;Riesgos;El universo COVID se define por NUM_CREDITO menor a 6051 o por un atributo del crédito;Repreguntar;Por ambos.;"""Por ambos"" deja la regla sin definir, porque ambos criterios pueden no coincidir y el código aplica sólo el umbral, además con valor distinto entre ambientes (6051 en desarrollo y 6086 en producción). Hay que saber si el umbral es condición necesaria, suficiente o redundante.";Repreguntar en forma de tabla de verdad, con las cuatro combinaciones. Redacción propuesta abajo.;;
Q22;Operación;Los esquemas PAG, edc, edcc, juicios, demandas, ori y cierre_puente existen en producción, y qué versión del cierre corre realmente;Repreguntar;Para póliza ahorita no se trabajará.;Aquí sí hay un malentendido que conviene deshacer: la primera mitad puede quedar fuera, pero la segunda mitad es el corazón del alcance. La pregunta era qué versión del cierre corre en producción, y sin eso cualquier corrección puede aplicarse sobre código equivocado.;Repreguntar sólo la segunda mitad, y reencuadrarla como acceso de lectura a metadatos en QA (CUA), no como decisión de negocio. Redacción propuesta abajo.;;
Q23;Operación;Quién recibe la alerta cuando el cierre termina con errores, en qué tiempo, y qué se hace mientras;Repreguntar;Para póliza ahorita no se trabajará cierre.;Confirmo tu lectura: la respuesta contradice el alcance, que es precisamente el cierre. La pregunta no era sobre construir un monitor sino sobre qué pasa hoy cuando el cierre falla: 102 objetos escriben la bitácora de errores de póliza y ninguno la vigila.;Repreguntar en términos de operación actual, no de proyecto nuevo. Redacción propuesta abajo.;;
Q24;Operación;Calendario oficial de días hábiles y fecha de negocio que debe usar el proceso;Sin respuesta;;Sigue en alcance: el cierre es diario y dispara minutos después de SAF, así que la definición de día hábil y de fecha de negocio determina qué se procesa.;Insistir. Es requisito de la parametrización de calendario.;;
Q25;Operación;Si alguna vez se ejecutó en producción el generador de órdenes con importes aleatorios;Fuera de alcance;Para póliza ahorita no se trabajará facturación.;De acuerdo en cuanto a alcance, pero el objeto existe en el repositorio y escribe en tablas de facturación reales. Fuera de alcance no es lo mismo que inofensivo.;"Baja prioridad como pregunta; se mantiene la recomendación técnica de aislarlo o retirarlo.";;
Q26;Operación;Revisión retroactiva de los pagos emparejados por coincidencia parcial de referencia;Fuera de alcance;Para póliza ahorita no se trabajará aplicación de pagos.;De acuerdo.;Baja prioridad.;;
Q27;Seguridad y legal;Alcance del enmascaramiento de datos personales y bancarios, y quién puede verlos sin máscara;Repreguntar;Para póliza ahorita no se trabajará esto.;La pregunta original era demasiado amplia y por eso recibió una respuesta genérica. Reducida al alcance sigue teniendo peso: el cierre comercial y el reporte de cobranza sí exponen nombre, domicilio y datos de crédito, y el portal va a mostrar información derivada.;Reformular en dos preguntas concretas y cerradas sobre los reportes del alcance y sobre el portal. Redacción propuesta abajo.;;
Q28;Seguridad y legal;Cuatro procedimientos de producción leyeron datos de la base de QA: ¿hay que revisar las pólizas generadas;Sin respuesta;;Sigue en alcance (objetos de PO y CIERRE) y es la única pregunta con posible impacto en cifras ya publicadas.;Insistir. Va junto con Q06 en la verificación de Fase 0.;;
Q29;Seguridad y legal;El correo de prueba en el campo de contacto de los clientes;Sin respuesta;;Queda fuera del alcance por ser del esquema edc, igual que Q17.;Baja prioridad.;;
Q30;Gobierno del portal;Se permiten cambios de parámetro con vigencia retroactiva y quién los autoriza;Cerrada;Esto no debe ocurrir.;Tu lectura es correcta: la vigencia siempre es a futuro. Es un requisito que hay que imponer en la base de datos y no sólo en la pantalla, y encaja con Q08: nunca se altera lo publicado.;Restricción de fecha de inicio mayor a hoy en la tabla de vigencias y en la validación del portal. La demo hoy no lo impide.;;
Q31;Gobierno del portal;Propietario de cada uno de los 63 grupos de valores hardcodeados;Cerrada;"El propietario es el área de cartera; lo que se espera del análisis es identificar los grupos con los cuales las configuraciones se simplifican.";Coincide con Q14 y además fija la expectativa del entregable: agrupar, no enumerar. Los 63 grupos ya están consolidados en 12 banderas y tres catálogos, más los espejos de rubro y origen que salen de Q03 y Q04.;Un solo dueño y entrega orientada a grupos. Sin cambios de diseño.;;
