Id;Area;Pregunta;Hallazgos;Por que bloquea;Que bloquea;Respuestas posibles;Respuesta;Responsable;Fecha
Q19;Riesgos;¿Cuál es el criterio correcto de asignación de etapa de riesgo, y hubo periodos mal clasificados por el filtro de periodo anulado?;L1-002;Una precedencia de OR/AND deja el filtro de periodo sin efecto en el UPDATE de etapa, así que el resultado depende de datos de otros periodos.;Bloquea la Ola 2;El criterio es el declarado y hay que corregir el código y revisar el histórico. | Se corrige a futuro sin revisar el histórico. | Riesgos revisa el impacto sobre las etapas ya reportadas.;;;
Q20;Riesgos;¿La granularidad del reporte de riesgos es folio o folio más sección?;L10-018;El procedimiento agrupa por folio pero publica una llave que incluye la sección y colapsa atributos descriptivos con MIN y MAX, con lo que la llave publicada no es única.;Bloquea la Ola 2;Folio: la sección se retira de la llave. | Folio más sección: se corrige el agrupamiento. | Riesgos define la granularidad esperada del entregable.;;;
Q21;Riesgos;¿El universo del programa COVID se define por el umbral NUM_CREDITO menor a 6051, o por un atributo del crédito?;L6-003, L1-015, L10-025;Una función escalar consumida por 66 procedimientos decide el tratamiento COVID con un número de crédito como frontera, y el umbral difiere entre desarrollo y producción. Si entra un crédito nuevo con número menor, recibe tratamiento COVID.;Bloquea la Ola 4;El umbral es correcto y es histórico cerrado. | Debe sustituirse por una marca del crédito o por vigencia. | Riesgos y negocio definen el universo formalmente.;;;
Q22;Operación;¿Los esquemas PAG, edc, edcc, juicios, demandas, ori y cierre_puente existen en producción, y qué versión del cierre corre realmente?;L2-019, L6-004, L10-006, L12-002;26 objetos programables del repositorio no aparecen en el export de producción y SP_SAF_SALDOS está desplegado con 223 de sus 573 líneas. Es lo que resuelve la Fase 0 con acceso de solo lectura.;Ya en tu lista / bloquea toda la remediación;Existen y el export está incompleto: se entrega acceso para reconciliar. | No existen: son módulos solo de desarrollo. | Existen parcialmente y hay que revisar objeto por objeto.;;;
Q23;Operación;¿Quién debe recibir la alerta cuando el cierre termina con errores, en qué tiempo, y qué se hace mientras se resuelve?;L12-004, L10-002;102 objetos escriben en la bitácora de errores de póliza y ninguno la vigila. Un cierre puede terminar en éxito con la póliza incompleta y la detección depende de que alguien note el descuadre.;Bloquea la Ola 3;Se define un responsable de guardia y un canal de alerta. | La alerta va al área de sistemas y contabilidad en paralelo. | Se requiere definir el procedimiento de escalamiento.;;;
Q24;Operación;¿Cuál es el calendario oficial de días hábiles y la fecha de negocio que debe usar el proceso?;L6-012, L10-019;Varios procedimientos usan la fecha del servidor y ventanas de días naturales. En un cierre diario que corre minutos después de SAF, la diferencia entre fecha de sistema y fecha de negocio cambia el universo.;Bloquea la Ola 2;Existe un calendario institucional y se debe consumir. | Se usa la fecha de sistema y es correcto. | Hay que construir el calendario como catálogo del portal.;;;
Q25;Operación;¿Se ha ejecutado alguna vez en producción el generador de órdenes de facturación con importes aleatorios, y puede retirarse el objeto?;L6-001;El procedimiento inserta importes aleatorios en la cola de facturación por cada estado de cuenta real del corte, sin guarda de ambiente. Si se ejecutó en producción, hay un incidente de datos, no un hallazgo de código.;Bloquea la Ola 2;Nunca se ejecutó en producción y el objeto puede retirarse. | Se usa para pruebas y debe quedar bloqueado por guarda de ambiente. | Se requiere revisar la bitácora de ejecuciones.;;;
Q26;Operación;¿Se requiere una revisión retroactiva de los pagos emparejados por coincidencia parcial de referencia?;L6-002, L6-013;El identificador de pagos empareja el crédito con una coincidencia invertida y se queda con el número de crédito más bajo cuando hay varios candidatos: pudo aplicar pagos al crédito equivocado.;Bloquea la Ola 2;Sí, con alcance y periodo definidos por operación. | No: el layout garantiza unicidad y no hay casos ambiguos. | Se ejecuta primero un diagnóstico de cuántos casos ambiguos existen.;;;
Q27;Seguridad y legal;¿Cuál es el alcance del enmascaramiento de datos personales y bancarios, y quién puede verlos sin máscara?;L6-017;251 tablas contienen datos personales y bancarios sin enmascaramiento ni cifrado, y solo 30 tienen rastro de auditoría. El alcance lo define cumplimiento, no el equipo técnico.;Ya en tu lista / bloquea la Ola 7;Cumplimiento entrega la clasificación de datos por tabla. | Se enmascara todo dato personal salvo excepción autorizada. | Se limita al ambiente de QA y desarrollo.;;;
Q28;Seguridad y legal;Cuatro procedimientos de producción leyeron datos de la base de QA: ¿se requiere revisión de las pólizas generadas y nota a auditoría interna?;L1-007, L12-007;Es el hallazgo con mayor exposición ante un revisor externo: cifras contables calculadas con una fuente que no es la réplica autorizada.;Bloquea la Ola 1;Sí: se revisan los periodos afectados y se documenta. | No: esos procedimientos no se ejecutan en producción. | Se requiere primero determinar desde cuándo apuntan a QA.;;;
Q29;Seguridad y legal;El correo de prueba en el campo de contacto de los clientes: ¿se usa para envíos y hay que notificar el incidente?;L6-009;Un proceso deja un correo de prueba como segundo contacto de todos los clientes. Si el envío usa ese campo, es un incidente de datos personales.;Bloquea la Ola 2;El campo no se usa para envíos: solo se corrige el dato. | Sí se usa: hay que evaluar notificación conforme a la política. | Se requiere revisar el proceso de envío.;;;
Q30;Gobierno del portal;¿Se permiten cambios de parámetro con vigencia retroactiva, y quién los autoriza?;portal M1-M3;Determina el diseño del catálogo: un cambio retroactivo obliga a recalcular pólizas ya publicadas, así que puede ser una función del portal o algo explícitamente prohibido.;Bloquea el portal;Prohibido: la vigencia siempre es a futuro. | Permitido con doble autorización y recálculo controlado. | Permitido solo antes del cierre del día.;;;
Q31;Gobierno del portal;¿Quién es el propietario de cada uno de los 63 grupos de valores hoy hardcodeados?;catálogo de hardcodeo completo;Sin propietario, el parámetro migra al portal pero nadie puede autorizar su cambio, y el proceso vuelve a depender del desarrollador.;Bloquea el portal;Se asigna propietario por grupo en una sesión de trabajo. | Todo queda bajo contabilidad. | Se define por familia de póliza.;;;
